   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
   2076    2434    2294    2294 ?             -1 Sl    1000   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
   2076    2464    2116    2116 ?             -1 Sl    1000   0:00 /usr/libexec/gnome-shell-calendar-server
   2076    2472    2472    2472 ?             -1 Ssl   1000   0:00 /usr/libexec/evolution-source-registry
   2094    2473    2094    2094 ?             -1 Sl    1000   0:00 /snap/snapd-desktop-integration/247/usr/bin/snapd-desktop-integration
   2076    2475    2475    2475 ?             -1 Ssl   1000   0:00 /usr/libexec/dconf-service
   2076    2490    2116    2116 ?             -1 Sl    1000   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   2076    2510    2510    2510 ?             -1 Ssl   1000   0:08 /usr/bin/ibus-daemon --panel disable
   2076    2511    2511    2511 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-a11y-settings
   2076    2512    2512    2512 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-color
   2076    2513    2513    2513 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-datetime
   2076    2515    2515    2515 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-housekeeping
   2076    2518    2518    2518 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-keyboard
   2076    2520    2520    2520 ?             -1 Ssl   1000   0:01 /usr/libexec/gsd-media-keys
   2076    2522    2522    2522 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-power
   2076    2524    2524    2524 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-print-notifications
   2076    2525    2525    2525 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-rfkill
   2076    2530    2530    2530 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-screensaver-proxy
   2076    2535    2535    2535 ?             -1 Ssl   1000   0:01 /usr/libexec/gsd-sharing
   2076    2543    2543    2543 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-smartcard
   2076    2549    2549    2549 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-sound
   2076    2555    2555    2555 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-wacom
   2076    2573    2573    2573 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
   2294    2574    2294    2294 ?             -1 Sl    1000   0:00 /usr/libexec/gsd-disk-utility-notify
   2076    2596    2116    2116 ?             -1 Sl    1000   0:00 /usr/libexec/goa-daemon
   2294    2608    2294    2294 ?             -1 Sl    1000   0:00 /usr/libexec/evolution-data-server/evolution-alarm-notify
   2510    2683    2510    2510 ?             -1 Sl    1000   0:00 /usr/libexec/ibus-memconf
   2510    2684    2510    2510 ?             -1 Sl    1000   0:02 /usr/libexec/ibus-extension-gtk3
   2076    2699    2116    2116 ?             -1 Sl    1000   0:00 /usr/libexec/ibus-portal
   2076    2708    2116    2116 ?             -1 Sl    1000   0:00 /usr/libexec/goa-identity-service
   2076    2726    2524    2524 ?             -1 Sl    1000   0:00 /usr/libexec/gsd-printer
   2076    2740    2740    2740 ?             -1 Ssl   1000   0:00 /usr/libexec/evolution-calendar-factory
   2076    2743    2743    2743 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-goa-volume-monitor
   2076    2753    2753    2753 ?             -1 Ssl   1000   0:01 /usr/libexec/gvfs-afc-volume-monitor
   2076    2762    2762    2762 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-mtp-volume-monitor
   2076    2774    2774    2774 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
   2076    2779    2779    2779 ?             -1 Ssl   1000   0:00 /usr/libexec/evolution-addressbook-factory
   2510    2817    2510    2510 ?             -1 Sl    1000   0:02 /usr/libexec/ibus-engine-simple
   2283    2846    2283    2283 ?             -1 Sl    1000   0:00 /usr/libexec/gvfsd-trash --spawner :1.20 /org/gtk/gvfs/exec_spaw/0
   2076    2867    2867    2867 ?             -1 Ssl   1000   0:01 /usr/libexec/xdg-desktop-portal
   2076    2875    2875    2875 ?             -1 SNsl  1000   0:00 /usr/libexec/tracker-miner-fs-3
   2076    2877    2877    2877 ?             -1 Ssl   1000   0:00 /usr/libexec/xdg-desktop-portal-gnome
   2076    2903    2116    2116 ?             -1 Sl    1000   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
   2076    2938    2938    2938 ?             -1 Ssl   1000   0:00 /usr/libexec/xdg-desktop-portal-gtk
   2076    3002    3002    3002 ?             -1 Ssl   1000   0:00 /usr/libexec/gvfsd-metadata
   2342    3026    2342    2342 ?             -1 SLl   1000   6:05 /opt/yandex/browser/yandex_browser
   3026    3033    2342    2342 ?             -1 S     1000   0:00 cat
   3026    3034    2342    2342 ?             -1 S     1000   0:00 cat
   2076    3036    3035    3035 ?             -1 Sl    1000   0:00 /opt/yandex/browser/chrome_crashpad_handler --monitor-self --monitor-self-annotation=ptype=crashpad-handler --database=/home/olesya/.config/yandex-browser/Crash Reports --metrics-dir=/home/olesya/.config/yandex-browser --url=https://crash-reports.browser.yandex.net/submit --annotation=channel=stable --annotation=lsb-release=Ubuntu 24.04 LTS --annotation=plat=Linux --annotation=prod=Yandex_Linux --annotation=ver=24.7.3.1253 --initial-client-fd=5 --shared-client-connection
   2076    3038    3037    3037 ?             -1 Sl    1000   0:00 /opt/yandex/browser/chrome_crashpad_handler --no-periodic-tasks --monitor-self-annotation=ptype=crashpad-handler --database=/home/olesya/.config/yandex-browser/Crash Reports --url=https://crash-reports.browser.yandex.net/submit --annotation=channel=stable --annotation=lsb-release=Ubuntu 24.04 LTS --annotation=plat=Linux --annotation=prod=Yandex_Linux --annotation=ver=24.7.3.1253 --initial-client-fd=4 --shared-client-connection
   3026    3044    2342    2342 ?             -1 S     1000   0:00 /opt/yandex/browser/yandex_browser --type=zygote --no-zygote-sandbox --user-id=40e020fe-f9b6-4965-9361-4d34a7a5c125 --brand-id=yandex --crashpad-handler-pid=3036 --enable-crash-reporter=ba0221f3-c927-42f0-8db0-bb1993c454cb,stable --change-stack-guard-on-fork=enable
   3026    3045    2342    2342 ?             -1 S     1000   0:00 /opt/yandex/browser/yandex_browser-sandbox /opt/yandex/browser/yandex_browser --type=zygote --user-id=40e020fe-f9b6-4965-9361-4d34a7a5c125 --brand-id=yandex --crashpad-handler-pid=3036 --enable-crash-reporter=ba0221f3-c927-42f0-8db0-bb1993c454cb,stable --change-stack-guard-on-fork=enable
   3045    3046    2342    2342 ?             -1 S     1000   0:00 /opt/yandex/browser/yandex_browser --type=zygote --user-id=40e020fe-f9b6-4965-9361-4d34a7a5c125 --brand-id=yandex --crashpad-handler-pid=3036 --enable-crash-reporter=ba0221f3-c927-42f0-8db0-bb1993c454cb,stable --change-stack-guard-on-fork=enable
   3046    3048    2342    2342 ?             -1 S     1000   0:00 /opt/yandex/browser/yandex_browser --type=zygote --user-id=40e020fe-f9b6-4965-9361-4d34a7a5c125 --brand-id=yandex --crashpad-handler-pid=3036 --enable-crash-reporter=ba0221f3-c927-42f0-8db0-bb1993c454cb,stable --change-stack-guard-on-fork=enable
   2342    3050    2342    2342 ?             -1 Sl    1000   4:05 /usr/bin/Xwayland :0 -rootless -noreset -accessx -core -auth /run/user/1000/.mutter-Xwaylandauth.JZ9FV2 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients
   2076    3060    3060    3060 ?             -1 Ssl   1000   0:00 /usr/libexec/gsd-xsettings
   2076    3083    3060    3060 ?             -1 Sl    1000   0:00 /usr/libexec/ibus-x11
   2342    3088    2342    2342 ?             -1 Sl    1000   0:12 /usr/libexec/mutter-x11-frames
   3044    3124    2342    2342 ?             -1 Sl    1000  11:30 /opt/yandex/browser/yandex_browser --type=gpu-process --user-id=40e020fe-f9b6-4965-9361-4d34a7a5c125 --brand-id=yandex --crashpad-handler-pid=3036 --enable-crash-reporter=ba0221f3-c927-42f0-8db0-bb1993c454cb,stable --change-stack-guard-on-fork=enable --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAEAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --gpu-process-kind=sandboxed --shared-files --field-trial-handle=3,i,9378035990413448216,9660647804042428357,262144 --enable-features=InstallerNewIdentity2024 --variations-seed-version
